Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/qa/GLB-reimport-verification.blend"
Fra:1 Mem:224.47M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_module_divider_-110.001
Fra:1 Mem:224.50M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_horizontal_rim_42.001
Fra:1 Mem:224.50M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_horizontal_rim_1.001
Fra:1 Mem:224.50M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_unpowered_LED_36.001
Fra:1 Mem:224.51M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_unpowered_LED_32.001
Fra:1 Mem:224.53M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_true_hex_cooling_vents.001
Fra:1 Mem:225.59M (Peak 252.38M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_2.001
Fra:1 Mem:225.71M (Peak 252.38M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_3.001
Fra:1 Mem:225.95M (Peak 252.38M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_4.001
Fra:1 Mem:226.04M (Peak 252.38M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_5.001
Fra:1 Mem:226.06M (Peak 252.38M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_6.001
Fra:1 Mem:226.13M (Peak 252.38M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Fan1_fine_vertical_thumb_rib_1_7.001
