Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/13-flat-punched-sheet-normals.blend"
Fra:22 Mem:258.85M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_00
Fra:22 Mem:258.87M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_mapping_triangle_0
Fra:22 Mem:258.94M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_01
Fra:22 Mem:259.00M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_02
Fra:22 Mem:259.08M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_03
Fra:22 Mem:259.02M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_05
Fra:22 Mem:259.07M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_07
Fra:22 Mem:259.09M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_08
Fra:22 Mem:259.10M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_09
Fra:22 Mem:259.21M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_10
Fra:22 Mem:259.18M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_12
Fra:22 Mem:259.18M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_13
Fra:22 Mem:259.21M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_14
Fra:22 Mem:259.23M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_16
Fra:22 Mem:259.42M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_17
Fra:22 Mem:259.08M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_18
Fra:22 Mem:259.19M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_19
Fra:22 Mem:259.20M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_20
Fra:22 Mem:258.47M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Real_service_label_band
Fra:22 Mem:258.58M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Real_yellow_warning_label
Fra:22 Mem:259.04M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Real_regulatory_label
Fra:22 Mem:259.40M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Node1_tray_side_-1
Fra:22 Mem:259.43M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Node1_visible_PCB_edge
Fra:22 Mem:259.51M (Peak 259.51M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Node1_punched_rear_skin
Fra:22 Mem:258.86M (Peak 259.51M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Node1_horizontal_rear_return
Fra:22 Mem:260.98M (Peak 260.98M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Node1_USB_black_mask
Fra:22 Mem:261.01M (Peak 261.01M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | PSU1_woven_edge_fibres
Fra:22 Mem:261.02M (Peak 261.02M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Node1_USB3A_0_metal_cavity
Fra:22 Mem:261.53M (Peak 261.53M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Node1_USB3A_0_dark_back
Fra:22 Mem:262.01M (Peak 262.01M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Node1_USB3A_0_blue_tongue
Fra:22 Mem:262.09M (Peak 262.09M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Node1_USB3A_0_front_contact_0
