Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/09-material-and-label-review.blend"
Fra:22 Mem:304.36M (Peak 304.36M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.016
Fra:22 Mem:304.33M (Peak 304.36M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor.016
Fra:22 Mem:304.39M (Peak 304.39M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.017
Fra:22 Mem:304.50M (Peak 304.50M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor.017
Fra:22 Mem:304.60M (Peak 304.60M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.018
Fra:22 Mem:304.95M (Peak 304.95M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor.018
Fra:22 Mem:304.96M (Peak 304.96M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.019
Fra:22 Mem:305.14M (Peak 305.14M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor.019
Fra:22 Mem:305.17M (Peak 305.17M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.020
Fra:22 Mem:305.37M (Peak 305.37M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor.020
