Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend"
Scene switch for render: 'C6420_GLB_REIMPORT_QA' in file: '/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend'
Fra:1 Mem:364.00M (Peak 364.00M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.010
Fra:1 Mem:364.28M (Peak 364.28M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.011
Fra:1 Mem:364.27M (Peak 364.28M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Midheight_sled_shelf.002
Fra:1 Mem:363.24M (Peak 364.28M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Central_PSU_channel_divider.002
Fra:1 Mem:363.26M (Peak 364.28M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_fan_screw_recessed_head.004
Fra:1 Mem:363.38M (Peak 364.28M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_backplane_shadow.001
Fra:1 Mem:363.72M (Peak 364.28M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Hidden_backplane_socket.004
Fra:1 Mem:363.73M (Peak 364.28M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rack_ear_mount_-1.001
Fra:1 Mem:363.74M (Peak 364.28M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Control_ear_shell_-1.001
Fra:1 Mem:363.63M (Peak 364.28M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Lower_ear_screw_boss_-1.001
Fra:1 Mem:363.81M (Peak 364.28M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_punched_cheek_-1.001
Fra:1 Mem:364.37M (Peak 364.37M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cage_side_return_-1.001
Fra:1 Mem:364.41M (Peak 364.41M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Chrome_lifting_handle_-1.001
Fra:1 Mem:364.30M (Peak 364.41M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_fan_screw_recess_floor.004
Fra:1 Mem:364.37M (Peak 364.41M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_fan_motor_hub.001
Fra:1 Mem:364.62M (Peak 364.62M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Handle_flat_anchor_-1.002
Fra:1 Mem:364.88M (Peak 364.88M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Chrome_lifting_handle_1.001
Fra:1 Mem:365.09M (Peak 365.09M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_EPP_real_print_paper.001
Fra:1 Mem:365.21M (Peak 365.21M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_lower_rolled_hem.001
Fra:1 Mem:365.11M (Peak 365.21M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_EPP_green_upper_field.001
Fra:1 Mem:365.26M (Peak 365.26M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_EPP_exact_letters.001
Fra:1 Mem:365.24M (Peak 365.26M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_efficiency_exact_letters.001
Fra:1 Mem:365.44M (Peak 365.44M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Drive_bank_divider_0.001
Fra:1 Mem:365.42M (Peak 365.44M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_curved_fan_vane_6.001
Fra:1 Mem:365.48M (Peak 365.48M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_curved_fan_vane_5.001
Fra:1 Mem:365.48M (Peak 365.48M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Control_face_inset_-1.001
Fra:1 Mem:365.48M (Peak 365.48M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_curved_fan_vane_4.001
Fra:1 Mem:365.57M (Peak 365.57M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_curved_fan_vane_3.001
Fra:1 Mem:365.59M (Peak 365.59M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_curved_fan_vane_2.001
Fra:1 Mem:365.54M (Peak 365.59M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_curved_fan_vane_1.001
Fra:1 Mem:365.58M (Peak 365.59M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Control_face_bottom_clip_-1.001
Fra:1 Mem:365.66M (Peak 365.66M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_curved_fan_vane_0.001
Fra:1 Mem:365.38M (Peak 365.66M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_corner_washer.004
Fra:1 Mem:365.46M (Peak 365.66M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | DELL_EMC_official_badge.001
Fra:1 Mem:365.50M (Peak 365.66M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Power_button_lens_1.001
Fra:1 Mem:365.52M (Peak 365.66M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Power_outer_white_print_1.001
Fra:1 Mem:365.56M (Peak 365.66M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_AC_C20_recess_metal_cavity.001
Fra:1 Mem:366.05M (Peak 366.05M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Power_symbol_arc_1.001
Fra:1 Mem:365.93M (Peak 366.05M) | Time:00:00.51 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Power_symbol_stem_1.001
