Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/07-finish-reviewed.blend"
Fra:1 Mem:100.64M (Peak 100.64M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_0_sidewall
Fra:1 Mem:100.64M (Peak 100.64M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_0_sidewall.001
Fra:1 Mem:100.66M (Peak 100.66M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_0_horizontalwall.001
Fra:1 Mem:100.90M (Peak 100.90M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB_contact
Fra:1 Mem:100.93M (Peak 100.93M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB_contact.001
Fra:1 Mem:101.39M (Peak 101.39M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB_contact.003
Fra:1 Mem:101.39M (Peak 101.39M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_1_recess_back
Fra:1 Mem:101.40M (Peak 101.40M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_1_sidewall
Fra:1 Mem:101.40M (Peak 101.40M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_1_sidewall.001
Fra:1 Mem:101.42M (Peak 101.57M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_1_horizontalwall.001
Fra:1 Mem:101.58M (Peak 101.58M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_1_tongue
Fra:1 Mem:101.59M (Peak 101.59M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB_contact.006
Fra:1 Mem:101.59M (Peak 101.59M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB_contact.007
Fra:1 Mem:101.60M (Peak 101.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_0_recess_back
Fra:1 Mem:101.60M (Peak 101.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_0_sidewall
Fra:1 Mem:101.60M (Peak 101.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_0_sidewall.001
Fra:1 Mem:101.62M (Peak 101.62M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_0_horizontalwall.001
Fra:1 Mem:101.77M (Peak 101.77M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_retention
Fra:1 Mem:101.78M (Peak 101.78M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_inner_contact
Fra:1 Mem:101.78M (Peak 101.78M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_inner_contact.002
Fra:1 Mem:101.79M (Peak 101.79M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_inner_contact.003
Fra:1 Mem:101.79M (Peak 101.79M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_1_sidewall
Fra:1 Mem:101.80M (Peak 101.80M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_1_sidewall.001
Fra:1 Mem:101.80M (Peak 101.80M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_1_horizontalwall.001
Fra:1 Mem:101.81M (Peak 101.81M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_retention.001
Fra:1 Mem:101.82M (Peak 101.82M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_inner_contact.004
Fra:1 Mem:101.82M (Peak 101.82M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_inner_contact.005
Fra:1 Mem:101.83M (Peak 101.83M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_inner_contact.007
Fra:1 Mem:101.83M (Peak 101.83M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_micro_USB_recess_back
Fra:1 Mem:101.83M (Peak 101.83M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_micro_USB_sidewall
Fra:1 Mem:101.83M (Peak 101.83M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_micro_USB_sidewall.001
Fra:1 Mem:101.84M (Peak 101.84M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_micro_USB_horizontalwall.001
Fra:1 Mem:101.85M (Peak 101.85M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_micro_USB_tongue
Fra:1 Mem:101.85M (Peak 101.85M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_sidewall
Fra:1 Mem:101.86M (Peak 101.86M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_horizontalwall
Fra:1 Mem:101.87M (Peak 101.87M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_sidewall.001
Fra:1 Mem:101.88M (Peak 101.88M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_tongue
Fra:1 Mem:101.97M (Peak 101.97M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_iDRAC_RJ45_recess_back
Fra:1 Mem:101.98M (Peak 101.98M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_iDRAC_RJ45_sidewall
Fra:1 Mem:101.98M (Peak 101.98M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_iDRAC_RJ45_sidewall.001
Fra:1 Mem:101.99M (Peak 101.99M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_iDRAC_RJ45_horizontalwall.001
Fra:1 Mem:102.15M (Peak 102.15M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact.001
Fra:1 Mem:102.15M (Peak 102.15M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact.002
Fra:1 Mem:102.15M (Peak 102.15M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact.003
Fra:1 Mem:102.16M (Peak 102.16M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact.004
Fra:1 Mem:102.17M (Peak 102.17M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact.005
Fra:1 Mem:102.17M (Peak 102.17M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact.007
